id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
321,0,4,177,,,2,101178,0,0,-2,2,290.1,0,3,2.8,3.3,2,James,3.8,29,2,68.3,False,239.8,1080,,,58,0,0,0,101178.jpg,3.2,0,0,Ward-Prowse,0.7,False,,a,16,20,152.0,39,42100,2197,58525,2308,0.7,6.7,Ward-Prowse,1
118,3,5,221,100.0,0.0,2,85955,0,0,1,-1,208.3,1,3,1.7,0.0,0,Jorge Luiz,2.2,16,1,49.1,False,238.0,952,,2019-11-02T20:00:14.959095Z,51,0,0,0,85955.jpg,3.5,0,0,Frello Filho,4.2,False,,a,6,8,42.0,38,383749,12946,374218,13231,0.4,7.5,Jorginho,5
258,0,3,180,0.0,100.0,3,101148,0,0,-1,1,13.2,1,2,2.6,3.0,1,Jamaal,3.5,18,1,29.7,False,218.2,1000,Knee injury - Unknown return date,2019-11-09T17:30:13.080996Z,44,0,0,0,101148.jpg,3.2,0,0,Lascelles,5.3,False,,i,13,4,65.0,38,150885,3110,260177,25139,0.8,8.6,Lascelles,1
363,2,6,138,100.0,100.0,2,94924,0,0,-4,4,244.1,1,4,5.0,5.5,12,Gerard,5.5,18,2,82.7,False,201.2,781,,2019-08-04T11:30:17.304977Z,61,0,0,0,94924.jpg,3.2,0,0,Deulofeu,2.4,False,,a,18,57,384.0,38,131463,36857,348672,4196,0.9,6.2,Deulofeu,2
239,3,2,92,100.0,100.0,2,148225,0,0,2,-2,99.7,1,3,5.8,5.8,10,Anthony,4.8,6,3,59.0,False,190.6,530,,2019-08-24T18:00:17.601995Z,77,0,1,0,148225.jpg,5.4,0,0,Martial,8.8,False,,a,12,1,298.0,38,1342440,72351,1199763,7683,0.6,4.9,Martial,1
70,3,5,131,,,1,178304,1,-1,0,0,63.4,1,4,6.0,6.0,2,Lys,7.0,2,3,44.2,False,164.8,348,,,50,0,0,0,178304.jpg,4.1,0,0,Mousset,2.3,False,,a,15,49,212.0,37,164955,43289,50069,8476,1.4,7.4,Mousset,0
148,0,2,204,,,3,111234,0,0,0,0,3.0,1,1,3.7,3.7,2,Jordan,3.2,18,0,22.6,False,222.6,1080,,,55,0,0,0,111234.jpg,3.1,0,28,Pickford,8.6,False,,a,8,11,0.0,37,371819,8801,461303,13948,0.6,6.7,Pickford,0
280,0,3,212,100.0,100.0,1,20480,0,0,0,0,0.0,1,1,5.7,6.2,1,Tim,6.2,21,0,36.4,False,363.8,900,,2019-10-27T20:00:16.930339Z,45,0,0,2,20480.jpg,3.7,0,39,Krul,1.5,False,,a,14,45,0.0,37,75797,9212,66827,4622,1.4,8.2,Krul,0
126,1,5,185,75.0,,3,55494,0,0,1,-1,60.7,0,2,0.0,0.5,1,Joel,1.0,14,0,29.8,False,206.6,1033,Groin Injury - 75% chance of playing,2019-11-09T15:00:21.032099Z,46,0,0,0,55494.jpg,3.0,0,0,Ward,2.9,False,,d,7,31,30.0,36,269202,488,129022,15298,0.2,7.8,Ward,2
203,2,3,178,100.0,100.0,2,58621,0,0,-1,1,125.5,1,2,4.3,3.8,1,Kyle,3.8,11,1,38.3,False,153.4,817,,2019-10-19T19:00:18.236898Z,59,0,0,0,58621.jpg,3.6,0,0,Walker,13.2,False,,a,11,43,103.0,36,504557,13726,915364,16788,0.6,6.1,Walker,2
